Temporada,Equipo,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40,J41,J42,J43,J44
1935-36,Real Oviedo,3,1,3,2,2,5,2,5,1,2,1,4,0,1,2,1,1,1,0,3,4,3,,,,,,,,,,,,,,,,,,,,,,
1935-36,Racing de Santander,1,2,1,6,0,2,1,6,1,4,0,2,1,0,4,2,3,3,1,3,2,1,,,,,,,,,,,,,,,,,,,,,,
1935-36,Barcelona,1,1,1,1,4,2,3,0,0,2,0,0,0,0,2,3,2,3,0,5,0,2,,,,,,,,,,,,,,,,,,,,,,
1935-36,Hércules,1,3,0,1,5,1,1,0,1,1,1,5,0,5,0,0,3,1,5,1,4,2,,,,,,,,,,,,,,,,,,,,,,
1935-36,Betis,1,7,2,1,3,0,0,0,5,0,5,6,2,2,3,0,5,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
1935-36,Valencia,0,6,2,4,1,3,2,2,0,2,1,1,0,0,2,2,1,3,2,3,1,4,,,,,,,,,,,,,,,,,,,,,,
1935-36,Espanyol,0,6,0,5,0,2,5,3,1,1,4,2,0,6,0,3,2,5,3,2,2,1,,,,,,,,,,,,,,,,,,,,,,
1935-36,Sevilla,5,1,2,4,1,6,2,1,2,6,1,2,0,3,1,3,0,4,0,2,0,2,,,,,,,,,,,,,,,,,,,,,,
1935-36,Atlético de Madrid,0,5,3,4,2,3,2,2,4,2,1,5,3,3,0,3,0,2,2,0,1,3,,,,,,,,,,,,,,,,,,,,,,
1935-36,Osasuna,5,0,3,0,2,3,3,1,6,5,1,0,1,1,2,3,2,1,5,4,5,2,,,,,,,,,,,,,,,,,,,,,,
1939-40,Atlético Aviación,1,0,4,0,4,1,4,1,2,1,1,1,1,1,1,1,2,2,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
1939-40,Sevilla,1,3,2,2,4,2,1,3,0,1,1,2,3,3,0,2,2,4,3,1,1,3,,,,,,,,,,,,,,,,,,,,,,
1939-40,Athletic Club,3,3,1,3,1,3,5,2,1,2,4,3,4,0,2,1,0,0,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,
1939-40,Real Madrid,3,2,1,2,1,2,0,3,1,0,1,3,2,5,1,3,0,0,1,0,1,3,,,,,,,,,,,,,,,,,,,,,,
1939-40,Espanyol,0,3,3,1,2,4,1,1,0,2,0,1,1,4,4,1,4,2,3,2,0,4,,,,,,,,,,,,,,,,,,,,,,
1939-40,Hércules,1,3,1,2,1,4,1,0,4,2,1,0,2,4,1,2,0,0,2,0,0,3,,,,,,,,,,,,,,,,,,,,,,
1939-40,Real Zaragoza,2,0,3,0,1,1,5,1,3,0,2,5,0,5,1,1,2,0,5,1,1,1,,,,,,,,,,,,,,,,,,,,,,
1939-40,Valencia,0,0,4,1,2,2,2,3,3,1,0,0,1,1,2,1,4,0,2,1,4,2,,,,,,,,,,,,,,,,,,,,,,
1939-40,Barcelona,1,1,1,3,0,3,7,0,2,2,2,1,0,3,2,3,1,2,1,0,2,1,,,,,,,,,,,,,,,,,,,,,,
1939-40,Celta de Vigo,3,2,6,3,1,1,4,4,2,4,2,1,2,0,2,0,6,0,4,1,0,2,,,,,,,,,,,,,,,,,,,,,,
1939-40,Betis,3,0,6,0,2,3,3,2,4,0,4,4,2,0,1,0,3,4,4,1,5,0,,,,,,,,,,,,,,,,,,,,,,
1939-40,Racing de Santander,3,1,8,0,3,5,1,2,2,3,3,1,3,3,3,3,2,4,2,2,0,3,,,,,,,,,,,,,,,,,,,,,,
1940-41,Atlético Aviación,4,1,1,0,4,3,1,3,1,3,4,0,0,1,1,2,2,1,1,1,2,0,,,,,,,,,,,,,,,,,,,,,,
1940-41,Athletic Club,2,0,1,5,1,1,1,1,0,1,1,0,2,0,1,2,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
1940-41,Valencia,2,4,10,0,0,1,2,1,6,3,6,5,1,1,1,0,2,0,3,1,2,1,,,,,,,,,,,,,,,,,,,,,,
1940-41,Barcelona,11,3,2,2,4,3,3,0,1,0,3,0,3,0,1,4,3,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
1940-41,Sevilla,1,0,3,2,1,2,3,4,1,0,4,4,1,4,0,0,2,1,4,3,2,1,,,,,,,,,,,,,,,,,,,,,,
1940-41,Real Madrid,1,3,3,1,0,1,3,1,1,3,1,0,0,4,3,0,1,1,5,3,2,1,,,,,,,,,,,,,,,,,,,,,,
1940-41,Espanyol,0,7,1,4,1,2,1,0,2,5,3,3,1,3,2,6,1,3,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,
1940-41,Real Oviedo,5,4,3,1,2,2,1,5,4,3,3,3,4,3,1,1,2,7,3,3,0,3,,,,,,,,,,,,,,,,,,,,,,
1940-41,Hércules,0,5,0,3,2,7,8,3,1,0,2,0,3,4,3,6,0,0,7,2,6,5,,,,,,,,,,,,,,,,,,,,,,
1940-41,Celta de Vigo,5,1,4,2,1,3,2,2,2,1,0,2,4,1,3,3,2,4,4,5,0,0,,,,,,,,,,,,,,,,,,,,,,
1940-41,Real Zaragoza,1,0,1,1,4,0,3,3,5,0,1,6,2,2,2,3,1,1,3,0,1,1,,,,,,,,,,,,,,,,,,,,,,
1940-41,Murcia,4,1,2,2,5,1,1,6,3,3,0,0,6,1,2,0,3,2,3,3,5,2,,,,,,,,,,,,,,,,,,,,,,
1941-42,Valencia,3,0,1,1,2,0,4,2,2,1,0,3,5,1,0,0,2,2,0,1,1,2,1,1,3,1,,,,,,,,,,,,,,,,,,
1941-42,Real Madrid,2,2,1,3,1,2,2,1,1,1,2,2,3,4,3,2,0,0,2,1,0,1,0,3,1,3,,,,,,,,,,,,,,,,,,
1941-42,Atlético Aviación,0,2,1,2,0,2,2,5,4,0,0,0,1,0,2,1,4,0,1,6,0,5,0,2,4,0,,,,,,,,,,,,,,,,,,
1941-42,Deportivo de La Coruña,1,4,0,2,0,2,0,4,1,2,0,1,1,1,1,1,0,3,3,3,4,0,0,1,2,0,,,,,,,,,,,,,,,,,,
1941-42,Celta de Vigo,1,0,0,1,2,1,0,1,3,2,4,7,1,3,10,0,4,1,2,2,1,3,2,2,3,2,,,,,,,,,,,,,,,,,,
1941-42,Sevilla,0,1,2,3,2,0,1,2,0,1,2,2,0,4,1,1,0,1,2,8,0,3,1,6,2,0,,,,,,,,,,,,,,,,,,
1941-42,Athletic Club,4,3,0,1,1,1,2,3,2,1,2,2,3,1,0,3,3,0,0,0,1,0,2,0,4,2,,,,,,,,,,,,,,,,,,
1941-42,Castellón,2,1,4,4,0,2,3,9,2,3,2,2,1,0,4,0,4,0,0,1,3,6,0,7,0,3,,,,,,,,,,,,,,,,,,
1941-42,Espanyol,2,2,2,1,1,3,1,0,1,1,1,1,1,1,1,2,6,1,2,0,2,4,0,2,0,4,,,,,,,,,,,,,,,,,,
1941-42,Granada,1,5,2,1,3,3,4,1,3,0,3,2,1,3,1,5,1,1,1,0,1,2,3,3,2,0,,,,,,,,,,,,,,,,,,
1941-42,Real Oviedo,10,3,4,4,3,2,2,5,1,8,1,6,1,0,0,4,0,1,1,1,1,0,1,2,1,1,,,,,,,,,,,,,,,,,,
1941-42,Barcelona,4,5,2,4,4,2,0,6,5,1,1,3,1,3,2,1,2,4,2,6,2,1,1,2,1,1,,,,,,,,,,,,,,,,,,
1941-42,Hércules,4,2,7,1,4,2,1,4,2,7,1,7,1,1,3,0,2,1,5,2,3,2,3,2,2,2,,,,,,,,,,,,,,,,,,
1941-42,Real Sociedad,3,6,4,1,4,0,3,1,3,0,3,2,6,6,3,2,3,1,4,2,1,3,5,1,8,2,,,,,,,,,,,,,,,,,,
1942-43,Athletic Club,0,2,0,2,1,3,2,0,1,2,1,2,0,3,0,4,2,2,1,1,2,1,2,2,2,0,,,,,,,,,,,,,,,,,,
1942-43,Sevilla,0,2,1,1,1,1,5,5,4,2,1,2,1,3,0,2,0,1,2,4,0,1,4,0,3,1,,,,,,,,,,,,,,,,,,
1942-43,Barcelona,3,2,1,1,1,0,0,4,0,3,3,4,2,5,2,2,1,0,1,4,0,1,2,5,1,2,,,,,,,,,,,,,,,,,,
1942-43,Castellón,4,2,4,2,0,2,0,0,1,0,0,5,1,0,4,0,1,0,7,1,0,0,1,5,0,3,,,,,,,,,,,,,,,,,,
1942-43,Celta de Vigo,1,0,4,0,3,1,8,1,1,2,5,1,1,2,1,1,2,3,2,2,3,2,1,0,0,3,,,,,,,,,,,,,,,,,,
