Temporada,Equipo,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40,J41,J42,J43,J44
1931-32,Racing de Santander,Julio Ostalé Gómez,Tomás Balaguer García,Ramón Melcón Bartolomé,Antonio Adrados Martín,Tomás Balaguer García,José María Steimborn Ludeuvik,Julio Ostalé Gómez,Santiago Insausti,Tomás Balaguer García,Jesús Arribas Seijas,Santiago Insausti,Tomás Balaguer García,Agustín Vilalta Bars,Pedro Vicente Saturnino Vallana Jeanguenat,José María Steimborn Ludeuvik,Antonio Adrados Martín,Santiago Insausti,Jesús Arribas Seijas,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-32,Arenas,Jesús Arribas Seijas,Antonio Adrados Martín,Ramón Melcón Bartolomé,Arturo López Espinosa,Jesús Arribas Seijas,Antonio Adrados Martín,Edmundo Gumb,Francisco Elorza,Julio Ostalé Gómez,José Llovera Mas,Luis Vicente Sanchis Orduña,Tomás Balaguer García,Arturo López Espinosa,José María Steimborn Ludeuvik,Alejandro Quintana,Plácido González Díaz,Edmundo Gumb,Alejandro Quintana,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-32,Espanyol,Ramón Melcón Bartolomé,Tomás Balaguer García,José Llovera Mas,Arturo López Espinosa,Santiago Insausti,Edmundo Gumb,Luis Vicente Sanchis Orduña,Julio Ostalé Gómez,Arturo López Espinosa,Ramón Melcón Bartolomé,Santiago Insausti,Ramón Melcón Bartolomé,Arturo López Espinosa,Luis Vicente Sanchis Orduña,Santiago Insausti,Pedro Escartín Morán,Ezequiel Montero Román,Manuel González Polidura,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-32,Valencia,Ramón Melcón Bartolomé,Arturo López Espinosa,Edmundo Gumb,Alejandro Quintana,José Llovera Mas,José María Steimborn Ludeuvik,Tomás Balaguer García,José Llovera Mas,Julio Ostalé Gómez,Ramón Melcón Bartolomé,Luis Iglesias Gracia,José María Steimborn Ludeuvik,Pedro Vicente Saturnino Vallana Jeanguenat,Guillermo Comorera Gatuellas,José María Steimborn Ludeuvik,Tomás Balaguer García,Guillermo Comorera Gatuellas,Alejandro Quintana,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-32,Real Sociedad,Jesús Arribas Seijas,Alejandro Quintana,Luis Vicente Sanchis Orduña,Alejandro Quintana,Pedro Vicente Saturnino Vallana Jeanguenat,Ramón Melcón Bartolomé,Julio Ostalé Gómez,Arturo López Espinosa,Arturo López Espinosa,José Llovera Mas,Jesús Arribas Seijas,Julio Ostalé Gómez,Pedro Vicente Saturnino Vallana Jeanguenat,Edmundo Gumb,José Llovera Mas,Antonio Adrados Martín,Luis Vicente Sanchis Orduña,Manuel González Polidura,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-32,Alavés,Julio Ostalé Gómez,Pedro Vicente Saturnino Vallana Jeanguenat,Luis Vicente Sanchis Orduña,Santiago Insausti,Santiago Insausti,Pedro Escartín Morán,Edmundo Gumb,José Llovera Mas,Antonio Adrados Martín,Jesús Arribas Seijas,Pedro Vicente Saturnino Vallana Jeanguenat,Julio Ostalé Gómez,Santiago Insausti,Luis Vicente Sanchis Orduña,Santiago Ledesma,Plácido González Díaz,Guillermo Comorera Gatuellas,Julio Ostalé Gómez,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-32,Real Unión,Pedro Escartín Morán,Arturo López Espinosa,Pedro Escartín Morán,Antonio Adrados Martín,Pedro Vicente Saturnino Vallana Jeanguenat,Antonio Adrados Martín,Alejandro Quintana,Julio Ostalé Gómez,Antonio Adrados Martín,Pedro Escartín Morán,Luis Iglesias Gracia,Alejandro Quintana,Agustín Vilalta Bars,Edmundo Gumb,Alejandro Quintana,Agustín Vilalta Bars,Ezequiel Montero Román,Julio Ostalé Gómez,,,,,,,,,,,,,,,,,,,,,,,,,,
1932-33,Real Madrid,Luis Vicente Sanchis Orduña,Ángel Castarlenas Mora,Santiago Insausti,Julio Ostalé Gómez,Jesús Arribas Seijas,Santiago Ledesma,Eduardo Iturralde Gorostiaga,Agustín Vilalta Bars,José María Steimborn Ludeuvik,Pedro Vicente Saturnino Vallana Jeanguenat,Jesús Arribas Seijas,Ángel Castarlenas Mora,Agustín Vilalta Bars,Jesús Arribas Seijas,Luis Vicente Sanchis Orduña,Julio Ostalé Gómez,Agustín Vilalta Bars,José María Steimborn Ludeuvik,,,,,,,,,,,,,,,,,,,,,,,,,,
1932-33,Athletic Club,Ramón Melcón Bartolomé,Santiago Insausti,Eduardo Iturralde Gorostiaga,Tomás Balaguer García,Luis del Campo Echevarría,Pedro Escartín Morán,Ramón Melcón Bartolomé,Jesús Arribas Seijas,José María Steimborn Ludeuvik,Jesús Arribas Seijas,Santiago Ledesma,Francisco Elorza,Pedro Escartín Morán,Eduardo Iturralde Gorostiaga,Guillermo Comorera Gatuellas,Tomás Balaguer García,Julio Ostalé Gómez,José María Steimborn Ludeuvik,,,,,,,,,,,,,,,,,,,,,,,,,,
1932-33,Espanyol,Luis Vicente Sanchis Orduña,Juan José Canga-Argüelles Ballesteros,Ezequiel Montero Román,Tomás Balaguer García,Luis Medina Toledo,Ezequiel Montero Román,Tomás Balaguer García,Arturo López Espinosa,Pedro Escartín Morán,Pedro Vicente Saturnino Vallana Jeanguenat,Pedro Escartín Morán,Ramón Melcón Bartolomé,Pedro Escartín Morán,Juan José Canga-Argüelles Ballesteros,Pedro Vicente Saturnino Vallana Jeanguenat,Arturo López Espinosa,Ángel Castarlenas Mora,Vicente Gómez Juaneda,,,,,,,,,,,,,,,,,,,,,,,,,,
