Temporada,Equipo,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40,J41,J42,J43,J44
1941-42,Espanyol,4,5,0,3,3,2,1,5,3,1,0,2,1,1,2,1,0,1,0,2,0,3,0,1,8,0,,,,,,,,,,,,,,,,,,
1941-42,Granada,1,2,1,1,0,1,0,4,0,8,2,7,1,3,3,0,3,0,0,6,4,3,1,7,2,4,,,,,,,,,,,,,,,,,,
1941-42,Real Oviedo,0,2,4,1,1,1,2,2,3,0,2,3,1,4,2,0,2,1,2,1,1,3,3,0,1,0,,,,,,,,,,,,,,,,,,
1941-42,Barcelona,4,2,0,3,2,0,4,3,4,2,2,6,1,1,1,0,0,2,4,0,1,5,0,6,1,3,,,,,,,,,,,,,,,,,,
1941-42,Hércules,4,4,2,4,0,2,1,1,1,1,3,2,3,3,1,1,0,0,1,0,1,1,1,1,2,2,,,,,,,,,,,,,,,,,,
1941-42,Real Sociedad,2,0,1,1,1,2,0,2,1,3,1,1,1,4,0,1,1,0,2,3,0,0,0,2,0,2,,,,,,,,,,,,,,,,,,
1942-43,Athletic Club,5,2,4,3,2,3,2,5,3,3,3,0,1,1,4,1,5,2,8,5,0,4,0,5,0,2,,,,,,,,,,,,,,,,,,
1942-43,Sevilla,6,5,4,0,2,2,0,0,2,3,1,4,1,4,5,0,2,0,4,4,2,3,3,3,1,2,,,,,,,,,,,,,,,,,,
1942-43,Barcelona,0,1,1,1,4,2,8,0,2,2,1,2,5,5,4,2,4,2,7,2,5,3,6,2,3,3,,,,,,,,,,,,,,,,,,
1942-43,Castellón,1,2,1,3,0,0,1,3,1,1,5,1,2,3,0,2,2,3,1,3,0,3,2,0,0,1,,,,,,,,,,,,,,,,,,
1942-43,Celta de Vigo,0,2,0,1,1,2,0,0,2,4,0,1,1,3,0,4,0,8,4,4,1,3,3,5,2,1,,,,,,,,,,,,,,,,,,
1942-43,Real Oviedo,4,0,2,0,0,3,5,4,1,3,1,1,2,0,1,0,3,4,1,4,1,3,2,1,3,4,,,,,,,,,,,,,,,,,,
1942-43,Valencia,3,2,3,2,7,0,2,2,4,0,3,1,1,1,2,0,1,1,7,1,8,1,1,2,0,3,,,,,,,,,,,,,,,,,,
1942-43,Atlético Aviación,0,2,1,2,1,7,3,4,0,3,2,5,1,1,2,3,2,1,1,2,0,1,2,5,0,3,,,,,,,,,,,,,,,,,,
1942-43,Deportivo de La Coruña,2,1,1,2,3,1,0,1,0,1,0,2,1,2,3,2,0,1,0,1,3,2,2,1,2,1,,,,,,,,,,,,,,,,,,
1942-43,Real Madrid,3,2,2,1,0,1,1,2,2,2,1,0,0,5,4,2,3,0,2,1,7,4,2,0,2,3,,,,,,,,,,,,,,,,,,
1942-43,Espanyol,1,3,0,5,1,1,2,4,0,1,2,3,1,2,4,1,1,2,2,2,0,1,2,0,1,3,,,,,,,,,,,,,,,,,,
1942-43,Granada,1,3,6,2,3,1,2,2,1,2,2,1,2,2,1,1,1,3,3,1,3,1,4,4,2,2,,,,,,,,,,,,,,,,,,
1942-43,Real Zaragoza,0,2,1,1,1,0,1,0,1,1,4,1,0,3,1,0,1,1,0,1,0,2,2,0,1,0,,,,,,,,,,,,,,,,,,
1942-43,Betis,0,2,2,3,1,1,0,2,1,2,1,0,1,3,0,0,1,0,0,1,3,0,1,1,1,1,,,,,,,,,,,,,,,,,,
1943-44,Valencia,4,3,2,8,3,2,1,4,2,5,4,1,1,3,1,3,2,3,2,2,3,5,1,2,1,5,,,,,,,,,,,,,,,,,,
1943-44,Atlético Aviación,7,1,4,2,2,2,2,4,2,3,0,2,2,2,1,1,3,0,4,5,4,2,0,6,2,3,,,,,,,,,,,,,,,,,,
1943-44,Sevilla,5,5,3,0,2,3,0,4,2,4,2,4,1,1,1,1,0,1,2,4,1,4,2,1,5,2,,,,,,,,,,,,,,,,,,
1943-44,Real Oviedo,2,4,0,6,5,3,9,1,1,3,3,0,5,2,2,3,0,5,2,3,2,1,2,1,4,2,,,,,,,,,,,,,,,,,,
1943-44,Castellón,2,2,2,0,2,3,1,0,2,0,0,0,3,1,2,0,4,0,5,0,3,2,1,1,3,3,,,,,,,,,,,,,,,,,,
1943-44,Barcelona,3,4,1,3,2,7,1,1,3,3,3,5,1,1,1,2,4,1,0,4,0,1,2,3,2,1,,,,,,,,,,,,,,,,,,
1943-44,Real Madrid,2,3,2,3,1,3,0,2,3,4,1,0,0,3,1,2,1,3,1,3,0,4,1,2,1,2,,,,,,,,,,,,,,,,,,
1943-44,Granada,5,0,2,2,1,2,2,1,0,2,2,4,1,0,2,2,0,0,2,2,2,1,0,1,0,5,,,,,,,,,,,,,,,,,,
1943-44,Sabadell,2,2,3,1,1,4,2,2,1,3,2,0,3,1,1,4,0,0,3,3,1,1,5,1,3,4,,,,,,,,,,,,,,,,,,
1943-44,Athletic Club,3,3,0,2,1,2,0,5,2,4,3,4,2,2,0,0,0,0,0,1,2,2,1,1,3,4,,,,,,,,,,,,,,,,,,
1943-44,Espanyol,1,2,1,1,5,1,4,0,1,1,3,0,1,0,1,1,2,0,1,1,0,3,7,2,2,1,,,,,,,,,,,,,,,,,,
1943-44,Deportivo de La Coruña,2,1,0,3,3,0,2,2,1,3,0,1,1,0,1,0,1,0,2,2,2,3,0,3,2,0,,,,,,,,,,,,,,,,,,
1943-44,Real Sociedad,2,2,1,2,2,3,0,0,3,1,2,1,0,0,6,0,1,0,2,0,0,0,2,2,0,2,,,,,,,,,,,,,,,,,,
1943-44,Celta de Vigo,0,2,1,0,0,0,1,1,1,0,0,3,0,1,0,0,1,1,0,0,3,1,2,2,1,2,,,,,,,,,,,,,,,,,,
1944-45,Barcelona,1,0,4,1,2,1,2,0,1,2,1,1,3,2,0,2,3,1,1,5,5,1,3,3,5,0,,,,,,,,,,,,,,,,,,
1944-45,Real Madrid,0,3,2,1,1,5,1,1,1,2,2,2,1,4,0,6,1,4,2,3,0,6,3,8,5,4,,,,,,,,,,,,,,,,,,
1944-45,Atlético Aviación,1,1,4,1,4,0,0,3,1,0,1,1,4,2,1,3,2,0,2,1,3,1,4,1,3,2,,,,,,,,,,,,,,,,,,
1944-45,Real Oviedo,4,1,1,1,2,3,2,0,2,1,2,2,3,1,6,0,1,1,2,1,6,1,3,1,0,3,,,,,,,,,,,,,,,,,,
1944-45,Valencia,1,1,4,1,2,3,0,3,2,5,0,4,0,1,9,2,4,2,2,1,2,4,1,2,1,4,,,,,,,,,,,,,,,,,,
1944-45,Athletic Club,1,2,5,2,2,3,5,0,0,4,0,4,3,0,4,2,0,1,3,2,2,0,3,0,2,4,,,,,,,,,,,,,,,,,,
1944-45,Sporting de Gijón,0,3,1,0,0,2,0,3,0,1,2,1,0,0,2,4,1,3,0,2,0,4,2,4,6,1,,,,,,,,,,,,,,,,,,
1944-45,Castellón,3,2,0,0,2,5,8,0,3,1,2,1,0,1,1,2,1,2,0,1,2,0,0,1,4,1,,,,,,,,,,,,,,,,,,
1944-45,Espanyol,0,0,0,7,0,2,1,0,0,7,0,1,2,1,2,3,2,0,0,2,1,1,0,5,6,1,,,,,,,,,,,,,,,,,,
1944-45,Sevilla,4,2,4,1,6,0,1,0,3,0,0,4,1,1,8,3,4,1,1,1,3,0,2,1,1,0,,,,,,,,,,,,,,,,,,
1944-45,Murcia,1,2,1,3,3,1,1,2,0,5,2,1,1,1,3,2,0,0,0,2,1,2,2,1,3,0,,,,,,,,,,,,,,,,,,
1944-45,Granada,1,2,2,5,0,2,1,1,0,2,3,0,2,3,1,1,1,0,5,0,0,2,2,1,2,1,,,,,,,,,,,,,,,,,,
1944-45,Sabadell,1,1,0,0,1,3,0,0,4,0,3,3,2,1,1,2,1,0,0,1,2,0,2,0,0,2,,,,,,,,,,,,,,,,,,
1944-45,Deportivo de La Coruña,3,3,2,1,2,2,2,1,1,1,0,1,1,0,2,0,3,4,0,1,0,4,0,1,0,1,,,,,,,,,,,,,,,,,,
1945-46,Sevilla,2,3,2,2,3,1,4,1,4,0,3,1,2,2,0,3,1,2,1,2,3,3,3,1,3,1,,,,,,,,,,,,,,,,,,
